id,base_name_en,weapon_type,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
666,Hulking Choppers I,dual-blades,Upgrade,Thick Bone,2,Quality Bone,4,Monster Hardbone,4,Frozen Bone,1
667,Hulking Choppers II,dual-blades,Upgrade,Monster Solidbone,2,Monster Slogbone,3,Thick Bone,4,Monster Essence,2
668,Hulking Choppers III,dual-blades,Upgrade,Large Elder Dragon Bone,3,Monster Solidbone,4,Thick Bone,6,Dragonbone Artifact,1
669,Icefeather,dual-blades,Upgrade,Crystal Shard,4,Velkhana Hardclaw,2,Velkhana Lash,2,Purecrystal,1
670,Untouched Hel,dual-blades,Upgrade,Shara Ishvalda Tenderclaw,3,Velkhana Crownhorn,4,Velkhana Hardclaw,4,Velkhana Crystal,1
671,Blazing Hatchets I,dual-blades,Upgrade,Anjanath Fang,2,Anjanath Scale,3,Flame Sac,1,,
672,Blazing Hatchets II,dual-blades,Upgrade,Rathalos Marrow,1,Anjanath Fang,4,Anjanath Nosebone,1,Anjanath Tail,1
673,Anja Cyclone I,dual-blades,Upgrade,Anjanath Fang+,4,Anjanath Scale+,5,Inferno Sac,3,Anjanath Plate,1
674,Anja Cyclone II,dual-blades,Upgrade,Rathalos Medulla,2,Anjanath Fang+,5,Anjanath Pelt+,4,Firecell Stone,1
675,Anja Cyclone III,dual-blades,Upgrade,Teostra Mane,2,Anjanath Fang+,6,Anjanath Nosebone+,2,Anjanath Gem,1
676,Anja Twinrippers I,dual-blades,Create,Anjanath Hardfang,2,Anjanath Lash,2,Anjanath Shard,6,Anjanath Mantle,1
677,Anja Twinrippers I,dual-blades,Upgrade,Anjanath Hardfang,1,Anjanath Shard,2,Conflagrant Sac,1,Eltalite Ore,3
678,Anja Twinrippers II,dual-blades,Upgrade,Azure Rathalos Cortex,2,Anjanath Fur,3,Heavy Anjanath Nosebone,2,Anjanath Lash,1
679,Fulguring Tornado I,dual-blades,Upgrade,Fulgur Anjanath Hardfang,1,Fulgur Anjanath Shard,2,Monster Solidbone,3,Meldspar Ore,2
680,Fulguring Tornado II,dual-blades,Upgrade,Fulgur Anjanath Thickfur,3,Heavy Fulgur Anjanath Nosebone,2,Fulgur Anjanath Lash,1,Lightning Sac,3
681,Diablos Hatchets I,dual-blades,Upgrade,Twisted Horn,1,Diablos Fang,2,Diablos Shell,4,Monster Bone+,3
682,Diablos Hatchets II,dual-blades,Upgrade,Monster Keenbone,4,Diablos Ridge,4,Diablos Tailcase,2,Diablos Marrow,1
683,Diablos Clubs I,dual-blades,Create,Majestic Horn,4,Diablos Carapace,8,Blos Medulla,1,Wyvern Gem,1
684,Diablos Clubs I,dual-blades,Upgrade,Majestic Horn,3,Diablos Carapace,6,Diablos Ridge+,5,Blos Medulla,1
685,Diablos Clubs II,dual-blades,Upgrade,Nergigante Horn+,2,Black Spiral Horn+,3,Black Diablos Carapace,4,Wyvern Gem,1
686,Diablos Clubs III,dual-blades,Upgrade,Twisted Stouthorn,3,Diablos Cortex,6,Diablos Chine,5,Monster Slogbone,3
687,Thanatos Mauls,dual-blades,Upgrade,Blackcurl Stouthorn,3,Black Diablos Cortex,3,Monster Solidbone,3,Large Wyvern Gem,1
688,Sulfurteinn Ortho,dual-blades,Upgrade,Acidic Glavenus Hardfang,2,Acidic Glavenus Spineshell,2,Acidic Glavenus Tailedge,2,Honed Acidcryst,4
689,The Stripping Shears,dual-blades,Upgrade,Vaal Hazak Hardclaw,2,Acidic Glavenus Hardfang,4,Acidic Glavenus Spineshell,3,Glavenus Mantle,1
690,Mammoth Direbones I,dual-blades,Upgrade,Banbaro Great Horn,1,Banbaro Cortex,2,Banbaro Chine,2,Monster Toughbone,3
691,Mammoth Direbones II,dual-blades,Upgrade,Monster Solidbone,3,Banbaro Great Horn,3,Banbaro Lash,2,Dragonbone Artifact,1
692,Madness Pangas I,dual-blades,Upgrade,Jyuratodus Fin,1,Jyuratodus Shell,1,Jyuratodus Scale,3,Aqua Sac,1
693,Madness Pangas II,dual-blades,Upgrade,Great Girros Hide,2,Jyuratodus Fin,3,Jyuratodus Shell,3,Gajau Skin,3
694,Madness Pangas III,dual-blades,Upgrade,Monster Bone+,2,Jyuratodus Fang,4,Jyuratodus Shell,3,Gajau Whisker,3
695,Jyura Hatchets I,dual-blades,Create,Jyuratodus Fin+,3,Jyuratodus Carapace,4,Jyuratodus Scale+,5,Carbalite Ore,5
696,Jyura Hatchets I,dual-blades,Upgrade,Jyuratodus Fin+,2,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Gajau Scale,5
697,Jyura Hatchets II,dual-blades,Upgrade,Monster Hardbone,3,Jyuratodus Fin+,4,Torrent Sac,3,Grand Gajau Whisker,3
698,Jyura Hatchets III,dual-blades,Upgrade,Elder Dragon Bone,2,Jyuratodus Fin+,6,Jyuratodus Fang+,5,Wyvern Gem,1
699,Jyura Keenblades I,dual-blades,Upgrade,Jyuratodus Grandfin,1,Jyuratodus Hardfang,1,Jyuratodus Shard,3,Gajau Thickhide,2
700,Jyura Keenblades II,dual-blades,Upgrade,Monster Slogbone,2,Jyuratodus Grandfin,2,Flood Sac,2,Steel Gajau Whisker,1
701,Raven Tessen,dual-blades,Upgrade,Garuga Shard,3,Garuga Silverpelt,4,Garuga Auricle,2,Fey Wyvern Gem,1
702,Wolf Tessen,dual-blades,Upgrade,Scratched Shell,3,Garuga Fellwing,2,Fancy Beak,3,Large Wyvern Gem,1
703,Beo Hatchets I,dual-blades,Create,Beotodus Grandfin,2,Beotodus Hardhorn,2,Beotodus Shard,6,Frozen Bone,3
704,Beo Hatchets I,dual-blades,Upgrade,Beotodus Grandfin,1,Beotodus Hardhorn,1,Beotodus Shard,3,Frozen Bone,1
705,Beo Hatchets II,dual-blades,Upgrade,Rimed Hide,2,Beotodus Grandfin,2,Cryo Sac,2,Large Wyvern Gem,1
706,Lava Cyclone I,dual-blades,Upgrade,Lavasioth Fin+,2,Lavasioth Fang+,2,Lavasioth Scale+,4,,
707,Lava Cyclone II,dual-blades,Upgrade,Teostra Mane,2,Lavasioth Fin+,3,Lavasioth Fang+,3,Wyvern Gem,1
708,Shattering Flames I,dual-blades,Upgrade,Lavasioth Grandfin,1,Lavasioth Hardfang,2,Lavasioth Shard,3,Barnos Hardclaw,2
709,Shattering Flames II,dual-blades,Upgrade,Azure Rathalos Cortex,2,Lavasioth Grandfin,2,Lavasioth Hardfang,2,Monster Solidbone,3
710,Smoldering Cities,dual-blades,Upgrade,Glavenus Hardfang,2,Glavenus Shard,4,Molten Bursa,2,Eltalite Ore,6
711,Smoldering Cities+,dual-blades,Upgrade,Ebony Odogaron Hardfang,2,Glavenus Hellshell,3,Glavenus Tailedge,2,Glavenus Mantle,1
712,Smoldering Kingdoms,dual-blades,Upgrade,Fire Dragon Hardclaw,2,Glavenus Hardfang,5,Glavenus Hellshell,4,Pure Dragon Blood,3
713,Taurus Pangas I,dual-blades,Upgrade,Hornetaur Shell,3,Hornetaur Wing,2,Monster Fluid,2,,
714,Taurus Pangas II,dual-blades,Upgrade,Odogaron Fang,2,Hornetaur Shell,5,Hornetaur Wing,4,Hornetaur Head,2
715,Dark Ripper I,dual-blades,Create,Hornetaur Razorwing,2,Girros Shard,4,Monster Broth,3,Novacrystal,1
716,Dark Ripper I,dual-blades,Upgrade,Hornetaur Carapace,5,Hornetaur Innerwing,4,Monster Broth,2,Dragonvein Crystal,3
717,Dark Ripper II,dual-blades,Upgrade,Azure Rathalos Wing,2,Hornetaur Carapace,5,Hornetaur Innerwing,4,Novacrystal,1
718,Dark Ripper III,dual-blades,Upgrade,Vaal Hazak Fang+,3,Hornetaur Carapace,8,Hornetaur Innerwing,6,Wyvern Gem,1
719,Abyss Eaters I,dual-blades,Upgrade,Hornetaur Razorwing,2,Tough Claw,1,Monster Essence,2,Spiritvein Crystal,3
720,Abyss Eaters II,dual-blades,Upgrade,Odogaron Hardclaw,2,Hornetaur Razorwing,3,Monster Essence,3,Dragonbone Artifact,1
721,Brachydios Blasters I,dual-blades,Upgrade,Brachydios Crown,2,Brachydios Cortex,4,Glowing Slime,3,Meldspar Ore,3
722,Brachydios Blasters II,dual-blades,Upgrade,Azure Rathalos Fellwing,2,Brachydios Pounder+,3,Brachydios Lash,2,Glowing Slime,5
723,Pulsar Hatchets I,dual-blades,Upgrade,Tobi-Kadachi Claw,1,Tobi-Kadachi Scale,3,Tobi-Kadachi Pelt,2,,
724,Pulsar Hatchets II,dual-blades,Upgrade,Tobi-Kadachi Electrode,2,Tobi-Kadachi Claw,3,Electro Sac,2,Coral Crystal,3
725,Pulsar Hatchets III,dual-blades,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2,Warped Bone,2
726,Kadachi Claws I,dual-blades,Upgrade,Tobi-Kadachi Claw+,3,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Dragonvein Crystal,3
727,Kadachi Claws II,dual-blades,Upgrade,Majestic Horn,2,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Claw+,4,Thunder Sac,3
728,Kadachi Claws III,dual-blades,Upgrade,Nergigante Talon,2,Tobi-Kadachi Electrode+,4,Tobi-Kadachi Claw+,6,Wyvern Gem,1
729,Kadachi Greathawks I,dual-blades,Create,Tobi-Kadachi Hardclaw,2,Tobi-Kadachi Cathode,2,Tobi-Kadachi Shard,6,Large Wyvern Gem,1
730,Kadachi Greathawks I,dual-blades,Upgrade,Tobi-Kadachi Hardclaw,1,Tobi-Kadachi Shard,2,Tobi-Kadachi Thickfur,2,Lightning Sac,1
731,Kadachi Greathawks II,dual-blades,Upgrade,Hard Odogaron Sinew,2,Tobi-Kadachi Cathode,2,Tobi-Kadachi Hardclaw,2,Tobi-Kadachi Membrane+,2
732,Crimson Viperclaws I,dual-blades,Upgrade,Viper Tobi-Kadachi Hardclaw,1,Viper Tobi-Kadachi Shard,2,Viper Tobi-Kadachi Thickfur,2,Deadly Poison Sac,1
733,Crimson Viperclaws II,dual-blades,Upgrade,Acidic Glavenus Spineshell,2,Viper Tobi-Kadachi Thorn,2,Viper Tobi-Kadachi Hardclaw,2,Viper Tobi-Kadachi Membrane+,2
734,Garon Hatchets I,dual-blades,Upgrade,Odogaron Claw,2,Odogaron Scale,4,Odogaron Fang,2,,
735,Garon Hatchets II,dual-blades,Upgrade,Quality Bone,5,Odogaron Claw,2,Odogaron Tail,2,Odogaron Plate,1
736,Blood-drinker Chainblade,dual-blades,Create,Odogaron Shard,3,Dragonbone Artifact,1,Odogaron Scale+,8,Wyvern Gem,1
737,Blood-drinker Chainblade,dual-blades,Upgrade,Odogaron Claw+,4,Odogaron Scale+,8,Odogaron Fang+,3,Dragonbone Relic,1
738,Sin,dual-blades,Upgrade,Teostra Claw+,2,Odogaron Claw+,6,Odogaron Fang+,5,Odogaron Gem,1
739,Sin+,dual-blades,Upgrade,Odogaron Hardclaw,2,Odogaron Shard,3,Odogaron Hardfang,2,Monster Slogbone,3
740,Crime,dual-blades,Upgrade,Acidic Glavenus Tailedge,2,Odogaron Hardclaw,4,Odogaron Lash,2,Odogaron Mantle,1
741,Nether Chainblades,dual-blades,Upgrade,Ebony Odogaron Hardclaw,3,Ebony Odogaron Shard,5,Ebony Odogaron Hardfang,2,Dragonbone Artifact,1
742,Death Row,dual-blades,Upgrade,Namielle Hardclaw,2,Ebony Odogaron Hardclaw,4,Ebony Odogaron Lash,2,Ebony Odogaron Mantle,1
743,Dragonbone Twinblades I,dual-blades,Create,Warped Bone,5,Coral Bone,5,Boulder Bone,5,Ancient Bone,5
744,Dragonbone Twinblades II,dual-blades,Upgrade,Monster Bone+,6,Monster Bone L,8,Sturdy Bone,8,,
745,Enduring Schism,dual-blades,Upgrade,Elder Dragon Bone,10,Brutal Bone,4,Dragonbone Relic,2,Wyvern Gem,1
746,Enduring Sacrifice,dual-blades,Upgrade,Monster Solidbone,3,Monster Slogbone,4,Thick Bone,6,Dragonbone Artifact,1
747,Enduring Surrender,dual-blades,Upgrade,Large Elder Dragon Bone,6,Monster Solidbone,4,Lavasioth Grandfin,2,Large Wyvern Gem,1
748,Boundless Farsight,dual-blades,Upgrade,Shara Ishvalda Tenderclaw,4,Shara Ishvalda Tenderscale,6,Shara Ishvalda Tenderplate,2,Shara Ishvalda Gem,1
749,Kirin Bolts,dual-blades,Upgrade,Kirin Thunderhorn,3,Kirin Hide,3,Kirin Tail,1,Lightcrystal,1
750,Kirin Bolts+,dual-blades,Upgrade,Kirin Azure Horn,4,Kirin Hide+,5,Kirin Mane,4,Dragonvein Crystal,5
751,Monarch,dual-blades,Upgrade,Xeno'jiiva Shell,4,Kirin Azure Horn,6,Kirin Thundertail,3,Novacrystal,2
752,Wunderkirins,dual-blades,Upgrade,Kirin Azure Horn+,3,Kirin Finehide,4,Kirin Silvermane,3,Purecrystal,1
753,Magda Ungulae I,dual-blades,Upgrade,Zorah Magdaros Heat Scale,4,Zorah Magdaros Carapace,8,Zorah Magdaros Magma,4,Zorah Magdaros Gem,1
754,Magda Ungulae II,dual-blades,Upgrade,Xeno'jiiva Shell,4,Zorah Magdaros Ridge,2,Zorah Magdaros Pleura,2,Firecell Stone,3
755,Magdaros Volcancross,dual-blades,Upgrade,Elder Dragonvein Bone,3,Dragonvein Solidbone,5,Heavy Dragonvein Bone,6,Large Elder Dragon Gem,1
756,Blacksteel Twins I,dual-blades,Create,Dragonvein Crystal,10,Earth Crystal,10,Coral Crystal,10,Lightcrystal,1
757,Blacksteel Twins II,dual-blades,Upgrade,Firecell Stone,1,Fucium Ore,5,Carbalite Ore,10,Wyvern Gem,1
758,Twin Nails,dual-blades,Upgrade,Daora Claw+,2,Teostra Claw+,2,Firecell Stone,2,Wyvern Gem,1
759,Fire and Ice,dual-blades,Upgrade,Xeno'jiiva Claw,2,Teostra Horn+,3,Daora Horn+,3,Novacrystal,2
760,Blizzard and Blaze,dual-blades,Upgrade,Daora Hardclaw,3,Fire Dragon Hardclaw,3,Purecrystal,2,Large Elder Dragon Gem,1
761,Xeno Raqs,dual-blades,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2,Xeno'jiiva Gem,1
762,Wrath & Rancor,dual-blades,Create,Deviljho Scale,6,Deviljho Talon,2,Deviljho Tallfang,3,Deviljho Saliva,2
763,Wrathful Predation,dual-blades,Upgrade,Elder Dragon Blood,5,Deviljho Scalp,2,Deviljho Tallfang,5,Deviljho Gem,1
764,Consummate Pair,dual-blades,Upgrade,Vile Fang,3,Deviljho Ripper,2,Black Blood,3,Deviljho Crook,1
765,Empress Daggers,dual-blades,Create,Lunastra Scale+,4,Lunastra Horn,3,Lunastra Mane,3,Lunastra Gem,1
766,Empress Daggers "Blaze",dual-blades,Upgrade,Research Commission Ticket,1,Lunastra Horn,2,Teostra Horn+,3,Bazelgeuse Gem,1
767,Soulfire Fangs "Blaze",dual-blades,Upgrade,Lunastra Shard,4,Lunastra Hardhorn,4,Lunastra Mane+,4,Large Elder Dragon Gem,1
768,Empress Daggers "Ruin",dual-blades,Upgrade,Research Commission Ticket,1,Lunastra Wing,3,Nergigante Horn+,3,Nergigante Gem,1
769,Soulfire Fangs "Ruin",dual-blades,Upgrade,Lunastra Shard,4,Annihilating Greathorn,3,Eternal Regrowth Plate,3,Large Elder Dragon Gem,1
770,Empress Daggers "Styx",dual-blades,Upgrade,Research Commission Ticket,1,Lunastra Tail,2,Xeno'jiiva Horn,3,Xeno'jiiva Gem,1
771,Soulfire Fangs "Styx",dual-blades,Upgrade,Lunastra Shard,4,Lunastra Lash,2,Elder Spiritvein Bone,5,Large Elder Dragon Gem,1
772,Downy Crake Brooms,dual-blades,Create,Downy Crake Ticket,1,Paolumu Pelt,3,Sturdy Bone,5,Sleep Sac,2
773,Downy Crake Love,dual-blades,Upgrade,Downy Crake Ticket,2,Paolumu Pelt+,3,Coma Sac,3,High Commendation,1
774,Downy Paradise,dual-blades,Upgrade,Research Commission Ticket+,2,Paolumu Thickfur,3,Torpor Sac,4,Conqueror's Seal,1
775,Zireael,dual-blades,Create,Ancient Leshen Skull,1,Ancient Leshen Claw,8,Ancient Leshen Antlers,3,Novacrystal,2
776,Zireael+,dual-blades,Upgrade,Unity Symbol,1,Leshen Skull,1,Namielle Hardclaw,2,Purecrystal,2
777,Suzuka Takamaru,dual-blades,Create,Rajang Hardhorn,1,Rajang Hardclaw,1,Rajang Hardfang,2,Rajang Wildpelt,2
778,Suzuka Otakemaru,dual-blades,Upgrade,Tempered Glimmerpelt,3,Rajang Hardhorn,3,Rajang Hardfang,7,Gold Rajang Pelt+,3
779,Demonlord Hellfists,dual-blades,Create,Ghoulish Gold Gorer,3,Rajang Apoplexy,2,Gold Rajang Pelt+,5,Rajang Heart,1
780,Drakespirit Hellclaws,dual-blades,Create,Stygian Zinogre Hardhorn,1,Stygian Zinogre Hardclaw,1,Stygian Zinogre Dragonlocks,2,Stygian Zinogre Dragonhold,2
781,Stygian Bloodclaws,dual-blades,Upgrade,Tempered Dragonhold,3,Stygian Zinogre Hardhorn,2,Stygian Zinogre Hardclaw,5,Stygian Zinogre Skymerald,1
782,Lightbreak Twins,dual-blades,Create,Brach Obliterator,3,Brach Warhead,1,Indestructible Ebonshell,4,Immortal Reactor,1
783,Alatreon Dual Blades,dual-blades,Create,Alatreon Mantle,3,Skyswayer,1,Alatreon Riptalon,3,Large Elder Dragon Gem,1
784,Alatreon Madness,dual-blades,Upgrade,Alatreon Direwing,1,Skyswayer,2,Alatreon Riptalon,2,Azure Dragonsphire,1
785,Whetfish Sabers,dual-blades,Create,Whetfish Ticket,1,Jyuratodus Shard,2,Jyuratodus Grandfin,1,Eltalite Ore,5
786,Whetfish Sabers+,dual-blades,Upgrade,Whetfish Ticket,1,Namielle Whisker,3,Flood Sac,3,Conqueror's Seal,1
787,Guild Palace Sabers,dual-blades,Create,Fest Ticket,2,Amber Hardfang,2,Gracium,5,Purecrystal,1
788,Royal Savior Daggers,dual-blades,Upgrade,Hero King Coin,1,Namielle Hardclaw,3,Large Elder Dragon Bone,5,Pure Dragon Blood,3
789,Defender Warhammer I,hammer,Create,Iron Ore,1,,,,,,
790,Defender Warhammer II,hammer,Upgrade,Anjanath Scale,1,,,,,,
791,Defender Warhammer III,hammer,Upgrade,Commendation,1,,,,,,
792,Defender Warhammer IV,hammer,Upgrade,Pink Rathian Scale+,1,,,,,,
793,Defender Warhammer V,hammer,Upgrade,Immortal Dragonscale,1,,,,,,
794,Iron Hammer I,hammer,Create,Iron Ore,1,,,,,,
795,Iron Hammer II,hammer,Upgrade,Iron Ore,2,,,,,,
796,Iron Hammer III,hammer,Upgrade,Earth Crystal,2,Machalite Ore,2,Iron Ore,5,,
797,Iron Demon I,hammer,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
798,Iron Demon II,hammer,Upgrade,Monster Bone+,2,Dragonite Ore,5,Coral Crystal,2,Machalite Ore,10
799,Iron Demon III,hammer,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
800,Iron Archdemon I,hammer,Upgrade,Fucium Ore,8,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3
801,Iron Archdemon II,hammer,Upgrade,Elder Dragon Blood,2,Fucium Ore,13,Carbalite Ore,20,Firecell Stone,1
802,Kurogane I,hammer,Create,Eltalite Ore,6,Carbalite Ore,10,Firecell Stone,2,Purecrystal,1
803,Kurogane I,hammer,Upgrade,Eltalite Ore,2,Carbalite Ore,4,Spiritvein Crystal,2,Gracium,1
804,Kurogane II,hammer,Upgrade,Monster Slogbone,3,Eltalite Ore,4,Meldspar Ore,2,Bathycite Ore,2
805,Kurogane III,hammer,Upgrade,Pure Dragon Blood,3,Eltalite Ore,6,Meldspar Ore,3,Purecrystal,1
806,Red Bludgeon,hammer,Upgrade,Rathalos Shard,6,Rathalos Cortex,4,Rathalos Fellwing,2,Rath Wingtalon+,4
807,Huracan Hammer,hammer,Upgrade,Azure Rathalos Shard,6,Azure Rathalos Cortex,4,Azure Rathalos Fellwing,3,Rathalos Mantle,1
808,Leonid Starcrusher,hammer,Upgrade,Silver Rathalos Shard,8,Silver Rathalos Cortex,6,Silver Rathalos Lash,1,Rath Gleam,2
809,Nergal Crusher,hammer,Upgrade,Nergigante Talon,3,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Carapace,2
810,Obliteration's Footfall,hammer,Upgrade,Xeno'jiiva Horn,2,Nergigante Horn+,5,Nergigante Talon,5,Nergigante Gem,1
811,Ruinous Obliteration,hammer,Upgrade,Annihilating Greathorn,3,Nergigante Hardclaw,4,Eternal Regrowth Plate,5,Large Elder Dragon Gem,1
812,Frozen Core,hammer,Upgrade,Legiana Scale,3,Frost Sac,4,Coral Crystal,4,Lightcrystal,3
813,Frozen Core+,hammer,Upgrade,Legiana Scale+,3,Freezer Sac,4,Dragonvein Crystal,4,Novacrystal,3
814,Cocytus,hammer,Upgrade,Legiana Wing,3,Freezer Sac,4,Daora Claw+,3,Novacrystal,6
815,Cocytus+,hammer,Upgrade,Legiana Hardclaw,3,Legiana Shard,4,Legiana Tail Webbing+,1,Gracium,4
816,Pykrete Punisher,hammer,Upgrade,Conqueror's Seal,1,Obsidian Icetalon,4,Stark Wing,2,Purecrystal,1
817,Aqua Hammer I,hammer,Upgrade,Earth Crystal,3,Jyuratodus Shell,1,Jyuratodus Scale,3,Aqua Sac,1
818,Aqua Hammer II,hammer,Upgrade,Dragonite Ore,5,Jyuratodus Fin,3,Jyuratodus Fang,2,Gajau Skin,3
819,Aqua Hammer III,hammer,Upgrade,Monster Bone+,2,Jyuratodus Fang,4,Coral Crystal,3,Gajau Whisker,3
820,Water Basher I,hammer,Upgrade,Carbalite Ore,5,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Gajau Scale,5
821,Water Basher II,hammer,Upgrade,Fucium Ore,5,Jyuratodus Fin+,4,Torrent Sac,3,Grand Gajau Whisker,3
822,Water Basher III,hammer,Upgrade,Elder Dragon Blood,3,Jyuratodus Fin+,6,Jyuratodus Fang+,5,Wyvern Gem,1
823,Water Basher IV,hammer,Create,Jyuratodus Grandfin,2,Jyuratodus Hardfang,2,Jyuratodus Shard,6,Large Wyvern Gem,1
824,Water Basher IV,hammer,Upgrade,Jyuratodus Grandfin,1,Jyuratodus Hardfang,1,Jyuratodus Shard,3,Gajau Thickhide,2
825,Aqua Flora,hammer,Upgrade,Coral Pukei-Pukei Shard,3,Coral Pukei-Pukei Fellwing,2,Flood Sac,2,Bathycite Ore,2
826,Aqua Flora+,hammer,Upgrade,Acidic Glavenus Hardfang,2,Monster Solidbone,3,Large Coral Pukei-Pukei Sac,1,Coral Pukei-Pukei Lash,1
827,Aqua Florescence,hammer,Upgrade,Namielle Hardclaw,4,Pure Dragon Blood,5,Large Coral Pukei-Pukei Sac,2,Purecrystal,1
828,Glacial Bash I,hammer,Upgrade,Barioth Hardclaw,3,Barioth Cortex,4,Cryo Sac,4,Frozen Bone,3
829,Glacial Bash II,hammer,Upgrade,Obsidian Icetalon,2,Amber Hardfang,3,Barioth Greatspike,3,Large Wyvern Gem,1
830,Polaris Bash,hammer,Create,Frostfang Ticket,3,Silverwhite Frostfang,3,Bergcrusher Claw,2,Large Wyvern Gem,1
831,Polaris Bash,hammer,Upgrade,Frostfang Ticket,2,Silverwhite Frostfang,3,Bergcrusher Claw,1,Gracium,5
832,Girros Hammer I,hammer,Upgrade,Great Girros Fang,1,Great Girros Scale,3,Girros Fang,3,,
833,Girros Hammer II,hammer,Upgrade,Diablos Fang,2,Great Girros Fang,3,Great Girros Hood,2,Paralysis Sac,2
834,Malady's Fist I,hammer,Upgrade,Great Girros Fang+,3,Great Girros Scale+,5,Great Girros Tail,2,Girros Scale+,6
835,Malady's Fist II,hammer,Upgrade,Blos Medulla,1,Great Girros Fang+,4,Great Girros Hood+,2,Omniplegia Sac,4
836,Malady's Fist III,hammer,Upgrade,Vaal Hazak Fang+,2,Great Girros Fang+,5,Great Girros Hood+,3,Bird Wyvern Gem,1
837,Naaga Matraca I,hammer,Create,Great Girros Hardfang,4,Great Girros Hardhood,2,Ultraplegia Sac,3,Dragonbone Artifact,1
838,Naaga Matraca I,hammer,Upgrade,Great Girros Hardfang,2,Great Girros Lash,1,Ultraplegia Sac,2,Tough Claw,2
839,Naaga Matraca II,hammer,Upgrade,Odogaron Hardfang,2,Great Girros Shard,4,Great Girros Hardhood,2,Fey Wyvern Gem,1
840,Nyx Hammer I,hammer,Upgrade,Nightshade Paolumu Thickfur,3,Paolumu Cortex,2,Nightshade Paolumu Fellwing,2,Torpor Sac,1
841,Nyx Hammer II,hammer,Upgrade,Black Diablos Chine,2,Nightshade Paolumu Shard,5,Nightshade Paolumu Fellwing,3,Large Wyvern Gem,1
842,Blooming Hammer I,hammer,Upgrade,Pukei-Pukei Quill,2,Pukei-Pukei Scale,3,Poison Sac,1,,
843,Blooming Hammer II,hammer,Upgrade,Coral Crystal,3,Pukei-Pukei Sac,2,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1
844,Blooming Hammer III,hammer,Upgrade,Monster Bone+,2,Pukei-Pukei Quill,4,Pukei-Pukei Sac,2,Poison Sac,2
845,Buon Fiore,hammer,Create,Pukei-Pukei Wing,4,Pukei-Pukei Sac+,3,Toxin Sac,2,Carbalite Ore,8
846,Buon Fiore,hammer,Upgrade,Pukei-Pukei Scale+,3,Pukei-Pukei Wing,2,Toxin Sac,2,Quality Bone,3
847,Buona Flora,hammer,Upgrade,Vaal Hazak Wing,2,Pukei-Pukei Sac+,4,Pukei-Pukei Wing,6,Bird Wyvern Gem,1
848,Buona Flora+,hammer,Upgrade,Pukei-Pukei Shard,3,Pukei-Pukei Fellwing,2,Deadly Poison Sac,2,Monster Toughbone,2
849,Buona Florescenza,hammer,Upgrade,Monster Slogbone,3,Rathian Surspike,2,Large Pukei-Pukei Sac,1,Pukei-Pukei Lash,1
850,Hidden Breaker,hammer,Upgrade,Nargacuga Hardfang,2,Nargacuga Shard,3,Nargacuga Tailspear,2,Meldspar Ore,1
851,Hidden Breaker+,hammer,Upgrade,Fulgur Anjanath Hardfang,3,Nargacuga Cutwing+,4,Nargacuga Lash,1,Nargacuga Mantle,1
852,Night Eternal,hammer,Upgrade,Shadowpierce Fang,2,Nargacuga Cutwing+,4,Nargacuga Hardfang,4,Purecrystal,1
853,Thunder Hammer I,hammer,Upgrade,Dragonite Ore,5,Tobi-Kadachi Electrode,1,Tobi-Kadachi Claw,2,Electro Sac,1
854,Thunder Hammer II,hammer,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2,Coral Crystal,3
855,Lightning Bash I,hammer,Upgrade,Carbalite Ore,5,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Vespoid Innerwing,3
856,Lightning Bash II,hammer,Upgrade,Fucium Ore,5,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Membrane,4,Thunder Sac,3
857,Lightning Bash III,hammer,Upgrade,Elder Dragon Blood,3,Tobi-Kadachi Electrode+,4,Tobi-Kadachi Claw+,6,Wyvern Gem,1
858,Lightning Bash IV,hammer,Upgrade,Tobi-Kadachi Hardclaw,1,Tobi-Kadachi Shard,2,Tobi-Kadachi Thickfur,2,Lightning Sac,1
859,Usurper's Thunder,hammer,Upgrade,Zinogre Hardclaw,3,Zinogre Deathly Shocker,2,Zinogre Cortex,5,Lightning Sac,3
860,Usurper's Thunder+,hammer,Upgrade,Zinogre Hardhorn,3,Zinogre Electrofur+,4,Fulgurbug,5,Zinogre Skymerald,1
