id,base_name_en,rank,condition_en,item_en,stack,percentage
1382,Paolumu,LR,Shiny Drop,Paolumu Scale,1,50
1383,Paolumu,LR,Shiny Drop,Paolumu Shell,1,28
1384,Paolumu,LR,Shiny Drop,Wyvern Tear,1,22
1385,Paolumu,LR,Palico Bonus,Paolumu Scale,1,50
1386,Paolumu,LR,Palico Bonus,Paolumu Shell,1,28
1387,Paolumu,LR,Palico Bonus,Wyvern Tear,1,22
1388,Paolumu,LR,Plunderblade,Paolumu Scale,1,43
1389,Paolumu,LR,Plunderblade,Paolumu Pelt,1,35
1390,Paolumu,LR,Plunderblade,Paolumu Shell,1,22
1391,Paolumu,LR,Bandit Mantle,Large Scale,1,100
1392,Paolumu,LR,Hunt (Bronze),Paolumu Pelt,1,27
1393,Paolumu,LR,Hunt (Bronze),Paolumu Scale,1,21
1394,Paolumu,LR,Hunt (Bronze),Monster Bone L,1,16
1395,Paolumu,LR,Hunt (Bronze),Paolumu Shell,1,15
1396,Paolumu,LR,Hunt (Bronze),Nourishing Extract,1,12
1397,Paolumu,LR,Hunt (Bronze),Paolumu Webbing,1,9
1398,Paolumu,LR,Investigation (Silver),Paolumu Shell,1,32
1399,Paolumu,LR,Investigation (Silver),Paolumu Webbing,1,25
1400,Paolumu,LR,Investigation (Silver),Paolumu Pelt,2,18
1401,Paolumu,LR,Investigation (Silver),Nourishing Extract,2,14
1402,Paolumu,LR,Investigation (Silver),Paolumu Scale,2,11
1403,Paolumu,LR,Investigation (Gold),Paolumu Shell,1,36
1404,Paolumu,LR,Investigation (Gold),Paolumu Webbing,1,30
1405,Paolumu,LR,Investigation (Gold),Paolumu Pelt,3,14
1406,Paolumu,LR,Investigation (Gold),Nourishing Extract,3,12
1407,Paolumu,LR,Investigation (Gold),Paolumu Scale,3,8
1408,Paolumu,HR,Track,Paolumu Scale+,1,100
1409,Paolumu,HR,Carve / Capture,Paolumu Scale+,1,34
1410,Paolumu,HR,Carve / Capture,Paolumu Pelt+,1,28
1411,Paolumu,HR,Carve / Capture,Paolumu Wing,1,21
1412,Paolumu,HR,Carve / Capture,Paolumu Carapace+,1,15
1413,Paolumu,HR,Carve / Capture,Wyvern Gem,1,2
1414,Paolumu,HR,Wound Neck Pouch,Paolumu Pelt+,1,100
1415,Paolumu,HR,Wound Wings,Paolumu Wing,1,100
1416,Paolumu,HR,Wound Back,Paolumu Pelt+,1,100
1417,Paolumu,HR,Wound Tail,Paolumu Carapace+,1,100
1418,Paolumu,HR,Shiny Drop,Paolumu Scale+,1,50
1419,Paolumu,HR,Shiny Drop,Paolumu Carapace+,1,28
1420,Paolumu,HR,Shiny Drop,Wyvern Tear,1,22
1421,Paolumu,HR,Palico Bonus,Paolumu Scale+,1,50
1422,Paolumu,HR,Palico Bonus,Paolumu Carapace+,1,28
1423,Paolumu,HR,Palico Bonus,Wyvern Tear,1,22
1424,Paolumu,HR,Plunderblade,Paolumu Pelt+,1,43
1425,Paolumu,HR,Plunderblade,Paolumu Scale+,1,35
1426,Paolumu,HR,Plunderblade,Paolumu Carapace+,1,20
1427,Paolumu,HR,Plunderblade,Wyvern Gem,1,2
1428,Paolumu,HR,Bandit Mantle,Large Scale,1,70
1429,Paolumu,HR,Bandit Mantle,Beautiful Scale,1,30
1430,Paolumu,HR,Hunt (Bronze),Paolumu Pelt+,1,26
1431,Paolumu,HR,Hunt (Bronze),Paolumu Scale+,1,20
1432,Paolumu,HR,Hunt (Bronze),Monster Keenbone,1,16
1433,Paolumu,HR,Hunt (Bronze),Paolumu Carapace+,1,14
1434,Paolumu,HR,Hunt (Bronze),Nourishing Extract,2,14
1435,Paolumu,HR,Hunt (Bronze),Paolumu Wing,2,9
1436,Paolumu,HR,Hunt (Bronze),Wyvern Gem,1,1
1437,Paolumu,HR,Investigation (Silver),Paolumu Carapace+,1,32
1438,Paolumu,HR,Investigation (Silver),Paolumu Wing,1,23
1439,Paolumu,HR,Investigation (Silver),Paolumu Pelt+,2,14
1440,Paolumu,HR,Investigation (Silver),Nourishing Extract,2,12
1441,Paolumu,HR,Investigation (Silver),Paolumu Scale+,2,11
1442,Paolumu,HR,Investigation (Silver),Wyvern Gem,1,8
1443,Paolumu,HR,Investigation (Gold),Paolumu Carapace+,1,30
1444,Paolumu,HR,Investigation (Gold),Paolumu Wing,1,24
1445,Paolumu,HR,Investigation (Gold),Wyvern Gem,1,16
1446,Paolumu,HR,Investigation (Gold),Paolumu Pelt+,3,12
1447,Paolumu,HR,Investigation (Gold),Nourishing Extract,3,10
1448,Paolumu,HR,Investigation (Gold),Paolumu Scale+,3,8
1449,Paolumu,HR,Investigation (Purple),Mysterious Feystone,1,55
1450,Paolumu,HR,Investigation (Purple),Glowing Feystone,1,25
1451,Paolumu,HR,Investigation (Purple),Worn Feystone,1,15
1452,Paolumu,HR,Investigation (Purple),Warped Feystone,1,5
1453,Paolumu,MR,Track,Paolumu Shard,1,100
1454,Paolumu,MR,Carve / Capture,Paolumu Shard,1,32
1455,Paolumu,MR,Carve / Capture,Paolumu Thickfur,1,26
1456,Paolumu,MR,Carve / Capture,Paolumu Fellwing,1,20
1457,Paolumu,MR,Carve / Capture,Paolumu Cortex,1,15
1458,Paolumu,MR,Carve / Capture,Wyvern Gem,1,5
1459,Paolumu,MR,Carve / Capture,Large Wyvern Gem,1,2
1460,Paolumu,MR,Wound Neck Pouch,Paolumu Thickfur,1,100
1461,Paolumu,MR,Wound Wings,Paolumu Fellwing,1,100
1462,Paolumu,MR,Wound Back,Paolumu Thickfur,1,100
1463,Paolumu,MR,Wound Tail,Paolumu Cortex,1,100
1464,Paolumu,MR,Shiny Drop,Paolumu Shard,1,50
1465,Paolumu,MR,Shiny Drop,Paolumu Cortex,1,28
1466,Paolumu,MR,Shiny Drop,Large Wyvern Tear,1,22
1467,Paolumu,MR,Palico Bonus,Paolumu Shard,1,50
1468,Paolumu,MR,Palico Bonus,Paolumu Cortex,1,28
1469,Paolumu,MR,Palico Bonus,Large Wyvern Tear,1,22
1470,Paolumu,MR,Plunderblade,Paolumu Thickfur,1,43
1471,Paolumu,MR,Plunderblade,Paolumu Shard,1,35
1472,Paolumu,MR,Plunderblade,Paolumu Cortex,1,20
1473,Paolumu,MR,Plunderblade,Large Wyvern Gem,1,2
1474,Paolumu,MR,Bandit Mantle,Lustrous Scale,1,100
1475,Paolumu,MR,Hunt (Bronze),Paolumu Thickfur,1,32
1476,Paolumu,MR,Hunt (Bronze),Paolumu Shard,1,21
1477,Paolumu,MR,Hunt (Bronze),Nourishing Extract,3,18
1478,Paolumu,MR,Hunt (Bronze),Paolumu Cortex,1,16
1479,Paolumu,MR,Hunt (Bronze),Paolumu Fellwing,2,11
1480,Paolumu,MR,Hunt (Bronze),Large Wyvern Gem,1,2
1481,Paolumu,MR,Investigation (Silver),Paolumu Cortex,1,32
1482,Paolumu,MR,Investigation (Silver),Paolumu Fellwing,1,23
1483,Paolumu,MR,Investigation (Silver),Paolumu Thickfur,2,14
1484,Paolumu,MR,Investigation (Silver),Nourishing Extract,3,12
1485,Paolumu,MR,Investigation (Silver),Paolumu Shard,2,11
1486,Paolumu,MR,Investigation (Silver),Large Wyvern Gem,1,8
1487,Paolumu,MR,Investigation (Gold),Paolumu Cortex,1,30
1488,Paolumu,MR,Investigation (Gold),Paolumu Fellwing,1,24
1489,Paolumu,MR,Investigation (Gold),Large Wyvern Gem,1,16
1490,Paolumu,MR,Investigation (Gold),Paolumu Thickfur,3,12
1491,Paolumu,MR,Investigation (Gold),Nourishing Extract,5,10
1492,Paolumu,MR,Investigation (Gold),Paolumu Shard,3,8
1493,Paolumu,MR,Investigation (Purple),Ancient Feystone,1,70
1494,Paolumu,MR,Investigation (Purple),Carved Feystone,1,30
1495,Paolumu,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
1496,Paolumu,MR,Guiding Lands (Low),Rubbery Shell,1,37
1497,Paolumu,MR,Guiding Lands (Mid),Rubbery Shell,1,63
1498,Paolumu,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
1499,Paolumu,MR,Guiding Lands (High),Rubbery Shell,1,100
1500,Paolumu,MR,Guiding Lands (Tempered),Tempered Rubbery Shell,1,54
1501,Paolumu,MR,Guiding Lands (Tempered),Spiritvein Slogbone,1,25
1502,Paolumu,MR,Guiding Lands (Tempered),Spiritvein Gem Shard,1,21
1503,Great Girros,LR,Track,Great Girros Scale,1,100
1504,Great Girros,LR,Carve / Capture,Great Girros Scale,1,31
1505,Great Girros,LR,Carve / Capture,Great Girros Hide,1,24
1506,Great Girros,LR,Carve / Capture,Great Girros Fang,1,18
1507,Great Girros,LR,Carve / Capture,Great Girros Hood,1,15
1508,Great Girros,LR,Carve / Capture,Great Girros Tail,1,12
1509,Great Girros,LR,Wound Head,Great Girros Hood,1,75
1510,Great Girros,LR,Wound Head,Great Girros Fang,2,25
1511,Great Girros,LR,Wound Forelegs,Great Girros Hide,1,75
1512,Great Girros,LR,Wound Forelegs,Great Girros Scale,2,25
1513,Great Girros,LR,Shiny Drop,Great Girros Scale,1,50
1514,Great Girros,LR,Shiny Drop,Great Girros Fang,1,28
1515,Great Girros,LR,Shiny Drop,Wyvern Tear,1,22
1516,Great Girros,LR,Tail Carve,Great Girros Tail,1,80
1517,Great Girros,LR,Tail Carve,Great Girros Scale,1,20
1518,Great Girros,LR,Palico Bonus,Great Girros Scale,1,50
1519,Great Girros,LR,Palico Bonus,Great Girros Fang,1,28
1520,Great Girros,LR,Palico Bonus,Wyvern Tear,1,22
1521,Great Girros,LR,Plunderblade,Great Girros Scale,1,42
1522,Great Girros,LR,Plunderblade,Great Girros Hide,1,32
1523,Great Girros,LR,Plunderblade,Great Girros Fang,1,26
1524,Great Girros,LR,Bandit Mantle,Large Scale,1,100
1525,Great Girros,LR,Hunt (Bronze),Great Girros Hide,1,26
1526,Great Girros,LR,Hunt (Bronze),Great Girros Scale,1,21
1527,Great Girros,LR,Hunt (Bronze),Paralysis Sac,1,18
1528,Great Girros,LR,Hunt (Bronze),Great Girros Fang,1,16
1529,Great Girros,LR,Hunt (Bronze),Monster Bone L,2,10
1530,Great Girros,LR,Hunt (Bronze),Great Girros Hood,1,9
1531,Great Girros,LR,Investigation (Silver),Great Girros Fang,1,22
1532,Great Girros,LR,Investigation (Silver),Great Girros Hide,2,18
1533,Great Girros,LR,Investigation (Silver),Great Girros Hood,1,18
1534,Great Girros,LR,Investigation (Silver),Great Girros Tail,1,16
1535,Great Girros,LR,Investigation (Silver),Great Girros Scale,2,14
1536,Great Girros,LR,Investigation (Silver),Paralysis Sac,2,12
1537,Great Girros,LR,Investigation (Gold),Great Girros Fang,1,24
1538,Great Girros,LR,Investigation (Gold),Great Girros Hood,1,22
1539,Great Girros,LR,Investigation (Gold),Great Girros Tail,1,20
1540,Great Girros,LR,Investigation (Gold),Great Girros Hide,3,14
1541,Great Girros,LR,Investigation (Gold),Great Girros Scale,3,10
1542,Great Girros,LR,Investigation (Gold),Paralysis Sac,3,10
1543,Great Girros,HR,Track,Great Girros Scale+,1,100
1544,Great Girros,HR,Carve / Capture,Great Girros Scale+,1,31
1545,Great Girros,HR,Carve / Capture,Great Girros Hide+,1,24
1546,Great Girros,HR,Carve / Capture,Great Girros Fang+,1,18
1547,Great Girros,HR,Carve / Capture,Great Girros Hood+,1,15
1548,Great Girros,HR,Carve / Capture,Great Girros Tail,1,12
1549,Great Girros,HR,Wound Head,Great Girros Hood+,1,75
1550,Great Girros,HR,Wound Head,Great Girros Fang+,2,25
1551,Great Girros,HR,Wound Forelegs,Great Girros Hide+,1,75
1552,Great Girros,HR,Wound Forelegs,Great Girros Scale+,2,25
1553,Great Girros,HR,Shiny Drop,Great Girros Scale+,1,50
1554,Great Girros,HR,Shiny Drop,Great Girros Fang+,1,28
1555,Great Girros,HR,Shiny Drop,Wyvern Tear,1,22
1556,Great Girros,HR,Tail Carve,Great Girros Tail,1,80
1557,Great Girros,HR,Tail Carve,Great Girros Scale+,1,20
1558,Great Girros,HR,Palico Bonus,Great Girros Scale+,1,50
1559,Great Girros,HR,Palico Bonus,Great Girros Fang+,1,28
1560,Great Girros,HR,Palico Bonus,Wyvern Tear,1,22
1561,Great Girros,HR,Plunderblade,Great Girros Scale+,1,42
1562,Great Girros,HR,Plunderblade,Great Girros Hide+,1,32
1563,Great Girros,HR,Plunderblade,Great Girros Fang+,1,26
1564,Great Girros,HR,Bandit Mantle,Large Scale,1,70
1565,Great Girros,HR,Bandit Mantle,Beautiful Scale,1,30
1566,Great Girros,HR,Hunt (Bronze),Great Girros Hide+,1,26
1567,Great Girros,HR,Hunt (Bronze),Great Girros Scale+,1,21
1568,Great Girros,HR,Hunt (Bronze),Omniplegia Sac,1,18
1569,Great Girros,HR,Hunt (Bronze),Great Girros Fang+,1,16
1570,Great Girros,HR,Hunt (Bronze),Monster Bone+,2,10
1571,Great Girros,HR,Hunt (Bronze),Great Girros Hood+,1,9
1572,Great Girros,HR,Investigation (Silver),Great Girros Fang+,1,22
1573,Great Girros,HR,Investigation (Silver),Great Girros Hide+,2,18
1574,Great Girros,HR,Investigation (Silver),Great Girros Hood+,1,18
1575,Great Girros,HR,Investigation (Silver),Great Girros Tail,1,16
1576,Great Girros,HR,Investigation (Silver),Great Girros Scale+,2,14
1577,Great Girros,HR,Investigation (Silver),Omniplegia Sac,2,12
1578,Great Girros,HR,Investigation (Gold),Great Girros Fang+,1,24
1579,Great Girros,HR,Investigation (Gold),Great Girros Hood+,1,22
1580,Great Girros,HR,Investigation (Gold),Great Girros Hide+,3,16
1581,Great Girros,HR,Investigation (Gold),Great Girros Tail,2,14
1582,Great Girros,HR,Investigation (Gold),Great Girros Scale+,3,12
1583,Great Girros,HR,Investigation (Gold),Omniplegia Sac,3,12
1584,Great Girros,MR,Track,Great Girros Shard,1,100
1585,Great Girros,MR,Carve / Capture,Great Girros Shard,1,31
1586,Great Girros,MR,Carve / Capture,Great Girros Thickhide,1,24
1587,Great Girros,MR,Carve / Capture,Great Girros Hardfang,1,18
1588,Great Girros,MR,Carve / Capture,Great Girros Hardhood,1,15
1589,Great Girros,MR,Carve / Capture,Great Girros Lash,1,12
1590,Great Girros,MR,Wound Head,Great Girros Hardhood,1,75
1591,Great Girros,MR,Wound Head,Great Girros Hardfang,2,25
1592,Great Girros,MR,Wound Forelegs,Great Girros Thickhide,1,75
1593,Great Girros,MR,Wound Forelegs,Great Girros Shard,2,25
1594,Great Girros,MR,Shiny Drop,Great Girros Shard,1,50
1595,Great Girros,MR,Shiny Drop,Great Girros Hardfang,1,28
1596,Great Girros,MR,Shiny Drop,Large Wyvern Tear,1,22
1597,Great Girros,MR,Tail Carve,Great Girros Lash,1,80
1598,Great Girros,MR,Tail Carve,Great Girros Shard,1,20
1599,Great Girros,MR,Palico Bonus,Great Girros Shard,1,50
1600,Great Girros,MR,Palico Bonus,Great Girros Hardfang,1,28
1601,Great Girros,MR,Palico Bonus,Large Wyvern Tear,1,22
1602,Great Girros,MR,Plunderblade,Great Girros Shard,1,42
1603,Great Girros,MR,Plunderblade,Great Girros Thickhide,1,32
1604,Great Girros,MR,Plunderblade,Great Girros Hardfang,1,26
1605,Great Girros,MR,Bandit Mantle,Beautiful Scale,1,70
1606,Great Girros,MR,Bandit Mantle,Lustrous Scale,1,30
1607,Great Girros,MR,Hunt (Bronze),Great Girros Thickhide,1,28
1608,Great Girros,MR,Hunt (Bronze),Ultraplegia Sac,1,23
1609,Great Girros,MR,Hunt (Bronze),Great Girros Shard,1,22
1610,Great Girros,MR,Hunt (Bronze),Great Girros Hardfang,1,16
1611,Great Girros,MR,Hunt (Bronze),Great Girros Hardhood,1,11
1612,Great Girros,MR,Investigation (Silver),Great Girros Hardfang,1,22
1613,Great Girros,MR,Investigation (Silver),Great Girros Thickhide,2,18
1614,Great Girros,MR,Investigation (Silver),Great Girros Hardhood,1,18
1615,Great Girros,MR,Investigation (Silver),Great Girros Lash,1,16
1616,Great Girros,MR,Investigation (Silver),Great Girros Shard,2,14
1617,Great Girros,MR,Investigation (Silver),Ultraplegia Sac,2,12
1618,Great Girros,MR,Investigation (Gold),Great Girros Hardfang,1,24
1619,Great Girros,MR,Investigation (Gold),Great Girros Hardhood,1,22
1620,Great Girros,MR,Investigation (Gold),Great Girros Thickhide,3,16
1621,Great Girros,MR,Investigation (Gold),Great Girros Lash,2,14
1622,Great Girros,MR,Investigation (Gold),Great Girros Shard,3,12
1623,Great Girros,MR,Investigation (Gold),Ultraplegia Sac,3,12
1624,Great Girros,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
1625,Great Girros,MR,Guiding Lands (Low),Night Hood,1,37
1626,Great Girros,MR,Guiding Lands (Mid),Night Hood,1,63
1627,Great Girros,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
1628,Great Girros,MR,Guiding Lands (High),Night Hood,1,100
1629,Great Girros,MR,Guiding Lands (Tempered),Night Hood,1,100
1630,Radobaan,LR,Track,Radobaan Scale,1,100
1631,Radobaan,LR,Carve / Capture,Radobaan Scale,1,38
1632,Radobaan,LR,Carve / Capture,Radobaan Shell,1,28
1633,Radobaan,LR,Carve / Capture,Radobaan Oilshell,1,20
1634,Radobaan,LR,Carve / Capture,Radobaan Marrow,1,14
1635,Radobaan,LR,Wound Head,Radobaan Oilshell,1,70
1636,Radobaan,LR,Wound Head,Radobaan Marrow,1,30
1637,Radobaan,LR,Wound Back,Wyvern Bonemass,2,50
1638,Radobaan,LR,Wound Back,Radobaan Oilshell,1,35
1639,Radobaan,LR,Wound Back,Radobaan Marrow,1,15
1640,Radobaan,LR,Wound Legs,Wyvern Bonemass,1,70
1641,Radobaan,LR,Wound Legs,Radobaan Scale,1,30
1642,Radobaan,LR,Shiny Drop,Wyvern Bonemass,1,50
1643,Radobaan,LR,Shiny Drop,Radobaan Scale,1,28
1644,Radobaan,LR,Shiny Drop,Wyvern Tear,1,22
1645,Radobaan,LR,Tail Carve,Radobaan Oilshell,1,72
1646,Radobaan,LR,Tail Carve,Radobaan Marrow,1,28
1647,Radobaan,LR,Back Mining,Sturdy Bone,1,46
1648,Radobaan,LR,Back Mining,Warped Bone,1,31
1649,Radobaan,LR,Back Mining,Wyvern Bonemass,1,23
1650,Radobaan,LR,Palico Bonus,Wyvern Bonemass,1,50
1651,Radobaan,LR,Palico Bonus,Radobaan Scale,1,28
1652,Radobaan,LR,Palico Bonus,Wyvern Tear,1,22
1653,Radobaan,LR,Plunderblade,Radobaan Scale,1,42
1654,Radobaan,LR,Plunderblade,Radobaan Shell,1,31
1655,Radobaan,LR,Plunderblade,Wyvern Bonemass,1,27
1656,Radobaan,LR,Bandit Mantle,Large Scale,1,70
1657,Radobaan,LR,Bandit Mantle,Beautiful Scale,1,30
1658,Radobaan,LR,Hunt (Bronze),Radobaan Shell,1,27
1659,Radobaan,LR,Hunt (Bronze),Radobaan Scale,1,21
1660,Radobaan,LR,Hunt (Bronze),Sleep Sac,1,18
1661,Radobaan,LR,Hunt (Bronze),Radobaan Oilshell,1,12
1662,Radobaan,LR,Hunt (Bronze),Radobaan Marrow,1,12
1663,Radobaan,LR,Hunt (Bronze),Monster Bone L,2,10
1664,Radobaan,LR,Investigation (Silver),Radobaan Oilshell,1,22
1665,Radobaan,LR,Investigation (Silver),Radobaan Scale,2,18
1666,Radobaan,LR,Investigation (Silver),Wyvern Bonemass,1,18
1667,Radobaan,LR,Investigation (Silver),Radobaan Marrow,1,16
1668,Radobaan,LR,Investigation (Silver),Radobaan Shell,2,14
1669,Radobaan,LR,Investigation (Silver),Sleep Sac,2,12
1670,Radobaan,LR,Investigation (Gold),Radobaan Oilshell,1,24
1671,Radobaan,LR,Investigation (Gold),Wyvern Bonemass,1,22
1672,Radobaan,LR,Investigation (Gold),Radobaan Marrow,1,20
1673,Radobaan,LR,Investigation (Gold),Radobaan Shell,3,14
1674,Radobaan,LR,Investigation (Gold),Radobaan Scale,3,10
1675,Radobaan,LR,Investigation (Gold),Sleep Sac,3,10
1676,Radobaan,HR,Track,Radobaan Scale+,1,100
1677,Radobaan,HR,Carve / Capture,Radobaan Scale+,1,36
1678,Radobaan,HR,Carve / Capture,Radobaan Carapace,1,28
1679,Radobaan,HR,Carve / Capture,Radobaan Oilshell,1,20
1680,Radobaan,HR,Carve / Capture,Radobaan Medulla,1,14
1681,Radobaan,HR,Carve / Capture,Wyvern Gem,1,2
1682,Radobaan,HR,Wound Head,Radobaan Oilshell,1,68
1683,Radobaan,HR,Wound Head,Radobaan Medulla,1,30
1684,Radobaan,HR,Wound Head,Wyvern Gem,1,2
1685,Radobaan,HR,Wound Back,Wyvern Bonemass,3,50
1686,Radobaan,HR,Wound Back,Radobaan Oilshell,1,35
1687,Radobaan,HR,Wound Back,Radobaan Medulla,1,15
1688,Radobaan,HR,Wound Legs,Wyvern Bonemass,2,64
1689,Radobaan,HR,Wound Legs,Radobaan Scale+,1,36
1690,Radobaan,HR,Shiny Drop,Radobaan Scale+,1,50
1691,Radobaan,HR,Shiny Drop,Wyvern Bonemass,1,28
1692,Radobaan,HR,Shiny Drop,Wyvern Tear,1,22
1693,Radobaan,HR,Tail Carve,Radobaan Oilshell,1,72
1694,Radobaan,HR,Tail Carve,Radobaan Medulla,1,25
1695,Radobaan,HR,Tail Carve,Wyvern Gem,1,3
1696,Radobaan,HR,Back Mining,Quality Bone,1,44
1697,Radobaan,HR,Back Mining,Wyvern Bonemass,2,23
1698,Radobaan,HR,Back Mining,Warped Bone,1,20
1699,Radobaan,HR,Back Mining,Dragonbone Relic,1,13
1700,Radobaan,HR,Palico Bonus,Radobaan Scale+,1,50
1701,Radobaan,HR,Palico Bonus,Wyvern Bonemass,1,28
1702,Radobaan,HR,Palico Bonus,Wyvern Tear,1,22
1703,Radobaan,HR,Plunderblade,Radobaan Scale+,1,42
1704,Radobaan,HR,Plunderblade,Radobaan Carapace,1,31
1705,Radobaan,HR,Plunderblade,Wyvern Bonemass,1,25
1706,Radobaan,HR,Plunderblade,Wyvern Gem,1,2
1707,Radobaan,HR,Bandit Mantle,Beautiful Scale,1,70
1708,Radobaan,HR,Bandit Mantle,Lustrous Scale,1,30
1709,Radobaan,HR,Hunt (Bronze),Radobaan Carapace,1,26
1710,Radobaan,HR,Hunt (Bronze),Radobaan Scale+,1,21
1711,Radobaan,HR,Hunt (Bronze),Coma Sac,1,18
1712,Radobaan,HR,Hunt (Bronze),Radobaan Oilshell,2,12
1713,Radobaan,HR,Hunt (Bronze),Radobaan Medulla,1,12
1714,Radobaan,HR,Hunt (Bronze),Monster Keenbone,2,10
1715,Radobaan,HR,Hunt (Bronze),Wyvern Gem,1,1
1716,Radobaan,HR,Investigation (Silver),Radobaan Medulla,1,26
1717,Radobaan,HR,Investigation (Silver),Radobaan Carapace,2,16
1718,Radobaan,HR,Investigation (Silver),Coma Sac,2,14
1719,Radobaan,HR,Investigation (Silver),Radobaan Scale+,2,12
1720,Radobaan,HR,Investigation (Silver),Radobaan Oilshell,2,12
1721,Radobaan,HR,Investigation (Silver),Wyvern Bonemass,2,12
1722,Radobaan,HR,Investigation (Silver),Wyvern Gem,1,8
1723,Radobaan,HR,Investigation (Gold),Radobaan Medulla,1,26
1724,Radobaan,HR,Investigation (Gold),Wyvern Gem,1,16
1725,Radobaan,HR,Investigation (Gold),Radobaan Carapace,3,13
1726,Radobaan,HR,Investigation (Gold),Wyvern Bonemass,2,12
1727,Radobaan,HR,Investigation (Gold),Coma Sac,3,12
1728,Radobaan,HR,Investigation (Gold),Radobaan Oilshell,3,11
1729,Radobaan,HR,Investigation (Gold),Radobaan Scale+,3,10
1730,Radobaan,HR,Investigation (Purple),Mysterious Feystone,1,55
1731,Radobaan,HR,Investigation (Purple),Glowing Feystone,1,25
1732,Radobaan,HR,Investigation (Purple),Worn Feystone,1,15
1733,Radobaan,HR,Investigation (Purple),Warped Feystone,1,5
1734,Radobaan,MR,Track,Radobaan Shard,1,100
1735,Radobaan,MR,Carve / Capture,Radobaan Shard,1,34
1736,Radobaan,MR,Carve / Capture,Radobaan Cortex,1,26
1737,Radobaan,MR,Carve / Capture,Radobaan Oilshell+,1,19
1738,Radobaan,MR,Carve / Capture,Radobaan Medulla,1,14
1739,Radobaan,MR,Carve / Capture,Wyvern Gem,1,5
1740,Radobaan,MR,Carve / Capture,Large Wyvern Gem,1,2
1741,Radobaan,MR,Wound Head,Radobaan Oilshell+,1,68
1742,Radobaan,MR,Wound Head,Radobaan Medulla,1,30
1743,Radobaan,MR,Wound Head,Large Wyvern Gem,1,2
1744,Radobaan,MR,Wound Back,Large Wyvern Bonemass,2,50
1745,Radobaan,MR,Wound Back,Radobaan Oilshell+,1,35
1746,Radobaan,MR,Wound Back,Radobaan Medulla,1,15
1747,Radobaan,MR,Wound Hindlegs,Large Wyvern Bonemass,1,70
1748,Radobaan,MR,Wound Hindlegs,Radobaan Shard,1,30
1749,Radobaan,MR,Shiny Drop,Large Wyvern Bonemass,1,50
1750,Radobaan,MR,Shiny Drop,Radobaan Shard,1,28
1751,Radobaan,MR,Shiny Drop,Large Wyvern Tear,1,22
1752,Radobaan,MR,Tail Carve,Radobaan Oilshell+,1,72
1753,Radobaan,MR,Tail Carve,Radobaan Medulla,1,25
1754,Radobaan,MR,Tail Carve,Large Wyvern Gem,1,3
1755,Radobaan,MR,Palico Bonus,Large Wyvern Bonemass,1,50
1756,Radobaan,MR,Palico Bonus,Radobaan Shard,1,28
1757,Radobaan,MR,Palico Bonus,Large Wyvern Tear,1,22
1758,Radobaan,MR,Plunderblade,Radobaan Shard,1,42
1759,Radobaan,MR,Plunderblade,Radobaan Cortex,1,31
1760,Radobaan,MR,Plunderblade,Large Wyvern Bonemass,1,25
1761,Radobaan,MR,Plunderblade,Large Wyvern Gem,1,2
1762,Radobaan,MR,Bandit Mantle,Lustrous Scale,1,100
1763,Radobaan,MR,Hunt (Bronze),Radobaan Cortex,1,28
1764,Radobaan,MR,Hunt (Bronze),Radobaan Shard,1,23
1765,Radobaan,MR,Hunt (Bronze),Torpor Sac,1,21
1766,Radobaan,MR,Hunt (Bronze),Radobaan Oilshell+,1,15
1767,Radobaan,MR,Hunt (Bronze),Radobaan Medulla,1,12
1768,Radobaan,MR,Hunt (Bronze),Large Wyvern Gem,1,1
1769,Radobaan,MR,Investigation (Silver),Radobaan Medulla,1,26
1770,Radobaan,MR,Investigation (Silver),Radobaan Cortex,2,16
1771,Radobaan,MR,Investigation (Silver),Torpor Sac,2,14
1772,Radobaan,MR,Investigation (Silver),Radobaan Shard,2,12
1773,Radobaan,MR,Investigation (Silver),Radobaan Oilshell+,1,12
1774,Radobaan,MR,Investigation (Silver),Large Wyvern Bonemass,1,12
1775,Radobaan,MR,Investigation (Silver),Large Wyvern Gem,1,8
1776,Radobaan,MR,Investigation (Gold),Radobaan Medulla,1,26
1777,Radobaan,MR,Investigation (Gold),Large Wyvern Gem,1,16
1778,Radobaan,MR,Investigation (Gold),Radobaan Cortex,3,13
1779,Radobaan,MR,Investigation (Gold),Large Wyvern Bonemass,2,12
1780,Radobaan,MR,Investigation (Gold),Torpor Sac,3,12
1781,Radobaan,MR,Investigation (Gold),Radobaan Oilshell+,1,11
1782,Radobaan,MR,Investigation (Gold),Radobaan Shard,3,10
1783,Radobaan,MR,Investigation (Purple),Ancient Feystone,1,70
1784,Radobaan,MR,Investigation (Purple),Carved Feystone,1,30
1785,Radobaan,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
1786,Radobaan,MR,Guiding Lands (Low),Inkstained Oilshell+,1,37
1787,Radobaan,MR,Guiding Lands (Mid),Inkstained Oilshell+,1,63
1788,Radobaan,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
1789,Radobaan,MR,Guiding Lands (High),Inkstained Oilshell+,1,100
